const,s_h,i_h,r_h,s_h*i_h,s_h^2,i_h^2,si_sat,T,P,H,V,T^2,P^2,H^2,V^2,T*P,T*H,T*V,P*H,P*V,H*V,T*P*H,T*P*V,T*H*V,P*H*V,T_lag1,P_lag1,P_lag2,P_lag3,T*P_lag2,T*P_lag3,sin,cos,si*T,si*P,si*H,si*V,si*T^2,si*P^2,si*H^2,si*V^2,si*T*P,si*T*H,si*T*V,si*P*H,si*P*V,si*H*V,si*T*P*H,si*T*P*V,si*T*H*V,si*P*H*V,si*T_lag1,si*P_lag1,si*P_lag2,si*P_lag3,si*T*P_lag2,si*T*P_lag3,si*sin,si*cos,i_h*T,i_h*P_lag2,i_h*H
1.0,0.8999889237626256,1.070707070707071e-05,0.1000003691666666,9.636245042306903e-06,0.8099800628954091,1.1464136312621167e-10,9.635213393196116e-06,26.77500000020001,9.68,79.68963396610215,0.2092857,716.9006250107105,93.7024,6350.437761651341,0.04380050422448999,259.1820000019361,2133.6899494583236,5.6036246175418585,771.3956567918688,2.025885576,16.677900827339464,20654.118710756575,54.2430862978052,446.5507946553498,161.442080008646,26.22142857165,37.97,15.71,14.21,420.6352500031422,380.47275000284213,0.0,1.0,0.00025801046100969464,9.327885200953082e-05,0.0007679088402291036,2.0167282890507298e-06,0.006908230093586179,0.0009029392874522583,0.06119437439719128,4.2207239168378425e-07,0.0024975412625738444,0.020560759197287837,5.399789993973665e-05,0.007433357573417723,1.9521929838011063e-05,0.0001607123391635361,0.19902814902974628,0.0005226996714166509,0.004303072881135822,0.0015556954431030295,0.0002526761110757669,0.0003658882242563931,0.00015138540961464144,0.0001369310420511811,0.004053344342462304,0.003666328650947761,0.0,9.636245042306903e-06,0.00028668181818395977,0.00016820808080808086,0.0008532425454956394
1.0,0.8999920933459592,7.373737373737367e-06,0.1000005329166666,6.636305334773228e-06,0.8099857680852417,5.437200285685124e-11,6.635816027126783e-06,27.728571428450017,6.66,79.96347776918151,0.239235,768.8736734626547,44.3556,6394.157776942386,0.057233385225,184.67228571347712,2217.2730049900247,6.63364478568524,532.5567619427488,1.5933051,19.13006260411014,14767.038213233564,44.1800742726637,530.4493073487886,127.40621694337352,26.77500000020001,9.68,37.97,15.71,1052.8538571382471,435.6158571409498,0.120536680255323,0.992708874098054,0.00018401526649626336,4.41977935295897e-05,0.0005306620541066396,1.5876365067644732e-06,0.005102480460966904,0.0002943573049070674,0.042433583366504476,3.798182196957988e-07,0.001225541674865114,0.014714500671663968,4.4022892280233566e-05,0.00353420928035022,1.0573659135051392e-05,0.00012695293651420196,0.09799857447328202,0.00029319246258635557,0.0035202235681855293,0.0008455065571845849,0.0001776870753398805,6.423943564060484e-05,0.00025198051356133946,0.00010425635680928741,0.00698705966886312,0.0028908798366562975,7.999182142142549e-07,6.58791919705364e-06,0.000204463203462308,0.0002799808080808078,0.0005896296845606308
1.0,0.8999909097961758,8.228715728715711e-06,0.1000008614880952,7.405769355140955e-06,0.8099836377157482,6.771176254401335e-11,7.405160005574839e-06,27.36428571415,24.34,79.51767555414534,0.1963293244106625,748.8041326456338,592.4356,6323.060725534324,0.03854520362354716,666.046714282411,2175.944393188714,5.372411727239413,1935.4602229878976,4.778655756155525,15.611651520251607,52962.486530213304,130.7645014410073,427.2016926699092,379.98759800292413,27.728571428450017,6.66,9.68,37.97,264.886285712972,1039.0219285662754,0.2393156642875577,0.970941817426052,0.0002026535885671735,0.00018025642610413085,0.0005888895648109307,1.4539696942360115e-06,0.005545470698549938,0.004387441411374545,0.04682712935185743,2.854568877829336e-07,0.004932588345725003,0.016114542305567758,3.9786842132789536e-05,0.014333572007498052,3.538962235770452e-05,0.00011561629041181905,0.3922279597175193,0.000968411737512097,0.003163757204039158,0.0028141005086236757,0.0002053514045466522,4.932242390523876e-05,7.168784735776445e-05,0.00028119706241470205,0.001961686737330239,0.007694756757895577,1.7723166127859956e-06,7.19057115711872e-06,0.00022517292826109675,7.965396825396808e-05,0.0006543283475433086
1.0,0.8999871079491341,1.1580086580086556e-05,0.1000013119642856,1.0421928631012679e-05,0.8099767944746463,1.3409840520230076e-10,1.0420721902394112e-05,26.742857142650006,16.59,81.89598027702985,0.1552607,715.1804081521865,275.2281,6706.951585535662,0.02410588496449,443.6639999965636,2190.1325011058916,4.15211471996784,1358.654312795925,2.575775013,12.715227224997848,36334.298193346745,68.88358320426646,340.0415052144515,210.94561966271428,27.36428571415,24.34,6.66,9.68,178.10742857004905,258.8708571408521,0.3546048870425356,0.9350162426854148,0.00027871214853006604,0.00017289979598850033,0.000853514061614027,1.6181159346010703e-06,0.007453559172060606,0.0028684076154492206,0.06989937075611,2.512298126873164e-07,0.004623834544113795,0.0228254046189869,4.3273043279282024e-05,0.014159798282176707,2.6844543355031754e-05,0.00013251719066603696,0.3786734626289927,0.0007178997880032886,0.003543888298927139,0.002198460193149553,0.0002851886327515111,0.0002536697428788486,6.941004468254444e-05,0.00010088426914820273,0.0018562229092102397,0.0026979335977710393,3.695666824965619e-06,9.744672550105024e-06,0.00030968460111077326,7.712337662337646e-05,0.0009483625421690666
1.0,0.8999824226406913,1.5735930735930714e-05,0.1000018414285713,1.416206106622904e-05,0.8099683610622078,2.4761951612600895e-10,1.4159832884733974e-05,27.37500000020001,86.11,83.49892918669481,0.107375,749.3906250109505,7414.9321,6972.071175324674,0.011529390625,2357.261250017223,2285.783186502471,2.9393906250214763,7190.09279226629,9.24606125,8.965697521421355,196828.7901897278,253.11092672059934,245.43596965070282,772.036213569593,26.742857142650006,16.59,24.34,6.66,666.3075000048683,182.31750000133206,0.4647231720437685,0.8854560256532099,0.0003876864216908525,0.0012194950784129826,0.0011825169341067063,1.520651306986343e-06,0.010612915793864629,0.10501072120214193,0.09873889774304331,1.632799340876586e-07,0.03338367777179931,0.032371401071407596,4.162782952905529e-05,0.10182653319592848,0.000130943284044594,0.00012697275579970756,2.7875013462589084,0.0035845724007469515,0.0034758791900423905,0.01093362400191282,0.00037873397593964883,0.00023494859308873976,0.0003447045663520148,9.43193267010854e-05,0.009436287503955351,0.0025819915684610777,6.581437941375514e-06,1.2539882306761226e-05,0.0004307711038992506,0.00038301255411255354,0.001313933366206213
1.0,0.8999818809956697,1.5757575757575736e-05,0.1000023614285712,1.4181532670234774e-05,0.8099673861205037,2.4830119375573854e-10,1.4179298356554348e-05,27.3678571428,20.21,82.74143169664528,0.1244490999999999,748.9996045887088,408.44410000000005,6846.144519210616,0.015487578490809974,553.104392855988,2264.4556824645315,3.4059051903500284,1672.2043345892012,2.515116310999998,10.29709670735897,45764.64934260819,68.83334389697407,281.8094716725965,208.1043244557248,27.37500000020001,86.11,16.59,24.34,454.032749999052,666.133642855752,0.5680647467311558,0.8229838658936564,0.0003881181601849363,0.0002866087752654448,0.0011734003167879741,1.7648789774313129e-06,0.010621962362467702,0.00579236334811464,0.0970888221643341,2.1963760035024704e-07,0.007843868017337562,0.032113452241169536,4.830095572867112e-05,0.02371442040228496,3.566820413388684e-05,0.00014602861336397816,0.6490128697940364,0.0009761623152764432,0.003996490229306528,0.002951238276085999,0.0003882194568505134,0.0012211717782339164,0.00023527162699919492,0.00034517850519351443,0.006438880277468094,0.00944679601890135,8.05602876457653e-06,1.1671172581247001e-05,0.0004312510822501812,0.00026141818181818147,0.0013038043782501662
1.0,0.8999826578354965,1.4502164502164482e-05,0.1000028399999998,1.305169655302558e-05,0.8099687844046443,2.103127752478396e-10,1.3049804048975188e-05,27.728571428800016,7.755,80.93712809724161,0.1524279529315744,768.8736734820645,60.140025,6550.818704629298,0.023234280834910262,215.03507143034412,2244.270937686301,4.226609380608928,627.6674283941087,1.1820787749843595,12.337080752023153,17404.32112175726,32.777355746622234,342.08962485534784,95.67406123193955,27.3678571428,20.21,86.11,16.59,2387.7072857339695,460.01700000379225,0.6631226582407952,0.7485107481711011,0.00036190490013759274,0.00010121590676871336,0.0010563668357985582,1.989443387861775e-06,0.010035105873897977,0.0007849293569913722,0.0854992979067057,3.0324678308502654e-07,0.0028065725005670316,0.02929154326145578,5.516442308387913e-05,0.008192124811617818,1.5428133472868065e-05,0.00016101983432557882,0.22715591799258952,0.0004278001010154826,0.004464849977550357,0.0012487088151948637,0.00035719696673437923,0.000263774787336647,0.0011238815901810327,0.00021652764581469436,0.031163630950848113,0.006004002293282663,8.654875712794546e-06,9.769335151807358e-06,0.00040212430427047585,0.0012487813852813834,0.0011737635459989567
1.0,0.8999829730194792,1.3733766233766215e-05,0.1000032932142855,1.2360155765819453e-05,0.8099693517249805,1.8861633496373705e-10,1.235845848402116e-05,27.00000000005001,42.985,81.17048084942347,0.1550241249999999,729.0000000027006,1847.710225,6588.646961326623,0.024032479332015595,1160.5950000021496,2191.6029829384934,4.18565137500775,3489.113119312468,6.663712013124996,12.583382769511122,94206.05422161112,179.92022435470813,339.75133477742963,540.8967083474356,27.728571428800016,7.755,20.21,86.11,545.6700000010107,2324.9700000043063,0.7485107481711011,0.6631226582407953,0.00033372420567774337,0.0005313012955937492,0.001003279786885339,1.9161223324598642e-06,0.00901055355331576,0.02283798619109731,0.08143670272799007,2.9704518798254937e-07,0.014345134981057798,0.02708855424595433,5.173530297651216e-05,0.0431259816392663,8.236451846078727e-05,0.00015553257109208606,1.1644015042623468,0.0022238419984453753,0.004199379419494102,0.006685567568393319,0.0003427294620236191,9.585300796392985e-05,0.00024979874802721116,0.0010643330129947132,0.006744566196747194,0.02873699135091048,9.251709439784867e-06,8.196299347700488e-06,0.0003708116883123747,0.0002775594155844152,0.0011147764090683793
1.0,0.8999759685281372,2.0075757575757548e-05,0.1000039557142855,1.8067699368178487e-05,0.8099567439281586,4.030360422405866e-10,1.8064072868701055e-05,27.36428571430001,35.685,81.85241688976214,0.271316675,748.8041326538436,1273.419225,6699.818150695418,0.07361273813305563,976.4945357147959,2239.832922177447,7.424387013753879,2920.903496711162,9.681935547375002,22.207925591244106,79928.4378279022,264.9392505858072,607.7040210007187,792.4898247235459,27.00000000005001,42.985,7.755,20.21,212.21003571439658,553.0322142860032,0.8229838658936564,0.5680647467311559,0.0004944096877109138,0.0006447458519534494,0.0014788848609230375,4.902068117473788e-06,0.01352916795443929,0.02300775572695884,0.12105030016823036,1.3300128222564976e-06,0.017643009705963962,0.04046862787285083,0.00013414159255751353,0.0527740062620386,0.00017493030077205216,0.000401246123173476,1.444122985642682,0.0047868427304148704,0.010979813556274212,0.01431846790544549,0.00048782788294172275,0.0007766400573411522,0.00014011500860022417,0.00036514820423088723,0.0038341471281981374,0.00999201978863757,1.4869425073827904e-05,1.0263623065598977e-05,0.0005493587662340525,0.0001556874999999998,0.0016432492784687073
1.0,0.899971404329003,2.3852813852813817e-05,0.1000047428571427,2.1466850380315146e-05,0.8099485286099178,5.689567286969867e-10,2.14617311535335e-05,27.300000000150007,24.54,80.50774899985294,0.19093095,745.2900000081904,602.2116,6481.497649023321,0.036454627667902494,669.9420000036812,2197.861547708062,5.212414935028641,1975.660160456391,4.6854455129999995,15.37142099890347,53935.52238075584,127.91266250560284,419.6397932723706,377.2146713130911,27.36428571430001,35.685,42.985,7.755,1173.490500006448,211.7115000011633,0.8854560256532099,0.4647231720437686,0.0005860450153858237,0.0005267965083329336,0.0017282478022358093,4.098686136621432e-06,0.015999028920120898,0.012927586314490192,0.13913734027194802,7.825660378169598e-07,0.014381544677568114,0.04718116500129685,0.00011189413153037993,0.04241120106686676,0.00010058175779268993,0.0003299759947162952,1.1578257891318247,0.002745881987755523,0.009008344655804358,0.008097610910337883,0.0005874250271930735,0.000766044555821546,0.0009227525635978466,0.00016647542469934397,0.025191144986359628,0.0045447790943170625,1.9007952021045947e-05,9.976142802529036e-06,0.0006511818181853953,0.001025313203463202,0.0019203363506025497
